geoName,Electric Cars,Petrol Cars
Andaman and Nicobar Islands,64,36
Andhra Pradesh,61,39
Arunachal Pradesh,45,55
Assam,54,46
Bihar,69,31
Chandigarh,57,43
Chhattisgarh,60,40
Dadra and Nagar Haveli,65,35
Daman and Diu,65,35
Delhi,59,41
Goa,70,30
Gujarat,62,38
Haryana,58,42
Himachal Pradesh,55,45
Jammu and Kashmir,52,48
Jharkhand,59,41
Karnataka,63,37
Kerala,66,34
Lakshadweep,0,0
Madhya Pradesh,60,40
Maharashtra,67,33
Manipur,56,44
Meghalaya,66,34
Mizoram,61,39
Nagaland,47,53
Odisha,62,38
Puducherry,57,43
Punjab,54,46
Rajasthan,63,37
Sikkim,57,43
Tamil Nadu,54,46
Telangana,66,34
Tripura,66,34
Uttar Pradesh,60,40
Uttarakhand,57,43
West Bengal,63,37
