date,Electric Cars,Petrol Cars,isPartial
2019-01-01,25,21,False
2019-02-01,23,21,False
2019-03-01,25,20,False
2019-04-01,19,19,False
2019-05-01,22,23,False
2019-06-01,29,22,False
2019-07-01,80,22,False
2019-08-01,41,25,False
2019-09-01,40,28,False
2019-10-01,31,26,False
2019-11-01,33,25,False
2019-12-01,38,28,False
2020-01-01,41,27,False
2020-02-01,45,31,False
2020-03-01,24,22,False
2020-04-01,16,13,False
2020-05-01,19,20,False
2020-06-01,27,32,False
2020-07-01,31,33,False
2020-08-01,33,36,False
2020-09-01,31,34,False
2020-10-01,32,34,False
2020-11-01,37,34,False
2020-12-01,42,34,False
2021-01-01,63,35,False
2021-02-01,100,36,False
2021-03-01,70,28,False
2021-04-01,44,23,False
2021-05-01,43,20,False
2021-06-01,59,28,False
2021-07-01,93,33,False
2021-08-01,77,30,False
2021-09-01,59,24,False
2021-10-01,65,25,False
2021-11-01,69,27,False
2021-12-01,53,22,False
2022-01-01,58,29,False
2022-02-01,68,30,False
2022-03-01,70,28,False
2022-04-01,75,28,False
2022-05-01,53,26,False
2022-06-01,39,30,False
2022-07-01,41,25,False
2022-08-01,49,28,False
2022-09-01,39,24,False
2022-10-01,41,25,False
2022-11-01,41,27,False
2022-12-01,42,29,False
2023-01-01,41,27,False
2023-02-01,41,25,False
2023-03-01,37,22,False
2023-04-01,36,22,False
2023-05-01,39,23,False
2023-06-01,38,26,False
2023-07-01,38,27,False
2023-08-01,40,28,False
2023-09-01,77,63,False
2023-10-01,55,40,False
2023-11-01,43,48,False
2023-12-01,41,34,False
2024-01-01,42,34,False
2024-02-01,43,30,False
2024-03-01,39,26,False
2024-04-01,43,29,False
2024-05-01,41,35,False
2024-06-01,27,21,False
2024-07-01,29,21,False
2024-08-01,28,23,False
2024-09-01,30,26,False
2024-10-01,26,25,False
2024-11-01,33,29,False
2024-12-01,34,27,False
2025-01-01,36,25,False
2025-02-01,39,24,False
2025-03-01,34,23,False
2025-04-01,35,23,False
2025-05-01,36,24,False
2025-06-01,38,28,False
2025-07-01,37,27,False
2025-08-01,38,33,True
